Date,Price,Open,High,Low,Vol.,Change %
02-01-2023,47.2,46.85,47.65,46.65,71.20K,0.53%
03-01-2023,47.6,47.85,47.85,47.35,133.23K,0.85%
04-01-2023,48.05,47.65,48.1,47.5,119.40K,0.95%
05-01-2023,47.8,48,48.05,47.7,53.18K,-0.52%
06-01-2023,47.6,48.1,48.1,47.45,90.70K,-0.42%
09-01-2023,48.1,48,48.25,47.9,60.80K,1.05%
10-01-2023,47.9,48,48.15,47.7,62.57K,-0.42%
11-01-2023,48.1,47.95,48.15,47.75,70.36K,0.42%
12-01-2023,48,48.05,48.3,47.85,27.97K,-0.21%
13-01-2023,48.2,48.25,48.3,47.85,70.45K,0.42%
16-01-2023,48.6,48.45,48.75,48.1,348.20K,0.83%
17-01-2023,48.6,48.75,48.8,48.5,66.39K,0.00%
18-01-2023,48.5,48.5,48.6,48.35,76.21K,-0.21%
19-01-2023,48.45,48.5,48.55,48.3,49.81K,-0.10%
20-01-2023,48.8,48.7,48.9,48.6,60.26K,0.72%
23-01-2023,48.75,49.15,49.15,48.65,83.01K,-0.10%
24-01-2023,49,48.95,49.1,48.9,149.85K,0.51%
25-01-2023,48.85,49.2,49.2,48.75,97.29K,-0.31%
27-01-2023,48.75,48.95,49,48.6,65.21K,-0.20%
30-01-2023,48.8,49.05,49.05,48.5,326.01K,0.10%
31-01-2023,48.75,48.95,48.95,48.6,82.51K,-0.10%
01-02-2023,49.3,48.95,49.4,48.75,233.02K,1.13%
02-02-2023,50.4,49.6,50.4,49.6,228.26K,2.23%
03-02-2023,49.4,50,50,49.3,169.84K,-1.98%
06-02-2023,49.05,49.15,49.2,48.6,104.96K,-0.71%
07-02-2023,48.95,49.15,49.2,48.9,102.69K,-0.20%
08-02-2023,49.25,49.05,49.3,48.95,143.24K,0.61%
09-02-2023,49.15,49.35,49.35,49.05,38.90K,-0.20%
10-02-2023,48.7,48.85,48.9,48.6,68.57K,-0.92%
13-02-2023,48.65,48.85,48.9,48.5,103.89K,-0.10%
14-02-2023,48.8,48.85,48.9,48.5,100.02K,0.31%
15-02-2023,48.25,48.55,48.95,45.8,64.75K,-1.13%
16-02-2023,48.2,48.4,48.45,48.05,152.17K,-0.10%
17-02-2023,47.85,48.25,48.25,47.8,59.48K,-0.73%
20-02-2023,48.4,48.35,48.45,47.85,108.72K,1.15%
21-02-2023,48.15,48.35,48.35,48.1,38.47K,-0.52%
22-02-2023,48.25,48.35,48.35,48.15,28.34K,0.21%
23-02-2023,47.95,48.2,48.2,47.85,54.99K,-0.62%
24-02-2023,47.8,47.7,48.05,47.7,42.87K,-0.31%
27-02-2023,47.45,47.75,48.1,47.4,203.48K,-0.73%
28-02-2023,47.45,47.7,47.7,47.45,132.50K,0.00%
01-03-2023,48,47.6,48.1,47.6,22.38K,1.16%
02-03-2023,48,48.05,48.1,47.85,23.47K,0.00%
03-03-2023,47.9,48.15,48.2,47.8,37.66K,-0.21%
06-03-2023,48,47.3,48.1,47.3,52.10K,0.21%
08-03-2023,47.35,47.7,47.7,47.1,59.69K,-1.35%
09-03-2023,47.2,47.35,47.4,47,82.11K,-0.32%
10-03-2023,47.5,47.75,47.75,47.25,168.57K,0.64%
13-03-2023,48.7,47.85,49.05,47.85,88.22K,2.53%
14-03-2023,49.15,49.05,49.35,49,86.85K,0.92%
15-03-2023,48.75,49.3,49.3,48.65,36.33K,-0.81%
16-03-2023,49.5,49.8,49.8,49.2,100.34K,1.54%
17-03-2023,49.65,49.6,49.75,49.45,71.97K,0.30%
20-03-2023,50.75,50.1,51.25,50.05,307.28K,2.22%
21-03-2023,50.5,50.75,50.85,50.3,134.19K,-0.49%
22-03-2023,50.05,50.3,50.3,49.85,92.32K,-0.89%
23-03-2023,50.5,50.35,50.75,50.35,105.84K,0.90%
24-03-2023,50.9,50.8,51.15,50.6,136.73K,0.79%
27-03-2023,50.4,50.65,50.7,50.2,132.36K,-0.98%
28-03-2023,50.25,50.4,50.4,50.2,90.11K,-0.30%
29-03-2023,50.8,50.45,51,50.3,98.42K,1.09%
31-03-2023,51,51.05,51.5,50.65,245.69K,0.39%
03-04-2023,50.85,51,51,50.6,91.55K,-0.29%
05-04-2023,51.95,51.5,52.15,51.25,180.15K,2.16%
06-04-2023,51.85,51.8,51.95,51.45,36.10K,-0.19%
10-04-2023,51.5,51.45,51.7,51.1,145.37K,-0.68%
11-04-2023,51.65,51.65,51.75,51.35,67.75K,0.29%
12-04-2023,51.7,51.75,52.1,51.6,53.36K,0.10%
13-04-2023,52,51.95,52.1,51.75,53.78K,0.58%
17-04-2023,51.85,51.8,52.1,51.35,90.81K,-0.29%
18-04-2023,51.7,51.65,51.85,51.6,66.53K,-0.29%
19-04-2023,51.25,51.7,52.05,51.1,49.34K,-0.87%
20-04-2023,51.65,51.8,51.8,51.45,48.03K,0.78%
21-04-2023,51.45,51.9,51.9,51.4,30.23K,-0.39%
24-04-2023,51.3,51.45,51.85,51.15,70.64K,-0.29%
25-04-2023,51.45,51.45,51.65,51.35,56.05K,0.29%
26-04-2023,51.5,51.8,51.8,51.45,105.56K,0.10%
27-04-2023,51.55,51.7,51.75,51.5,52.27K,0.10%
28-04-2023,51.4,51.7,51.7,51.2,21.30K,-0.29%
02-05-2023,51.45,51.5,51.6,51.25,37.76K,0.10%
03-05-2023,52.15,51.8,52.25,51.8,64.67K,1.36%
04-05-2023,52.65,52.45,52.75,52.3,166.82K,0.96%
05-05-2023,52.6,52.65,53,52.45,64.14K,-0.09%
08-05-2023,52.1,52.5,52.5,52,88.00K,-0.95%
09-05-2023,52.45,52,52.5,52,38.32K,0.67%
10-05-2023,52.55,52.5,52.65,52.4,30.60K,0.19%
11-05-2023,52.6,52.9,52.9,52.35,89.65K,0.10%
12-05-2023,52.15,52.5,52.5,52,86.48K,-0.86%
15-05-2023,52.3,52.25,52.7,52.2,76.46K,0.29%
16-05-2023,52.15,52.35,52.45,52.1,45.67K,-0.29%
17-05-2023,51.85,52,52,51.65,114.98K,-0.58%
18-05-2023,51.85,52.15,52.15,51.6,118.95K,0.00%
