"Date","Price","Open","High","Low","Vol.","Change %"
"22-04-2025","83.40","82.85","84.20","83.10","3.95M","1.83%"
"21-04-2025","81.90","82.75","82.75","80.85","4.04M","1.93%"
"17-04-2025","80.35","80.60","81.05","80.10","446.12K","0.37%"
"16-04-2025","80.05","79.95","80.15","79.15","426.04K","1.84%"
"15-04-2025","78.60","78.25","78.95","77.90","269.86K","0.13%"
"11-04-2025","78.50","77.95","79.00","77.00","753.71K","3.70%"
"09-04-2025","75.70","74.90","75.95","74.10","309.86K","1.54%"
"08-04-2025","74.55","74.60","74.65","73.35","329.15K","-0.13%"
"07-04-2025","74.65","75.60","75.60","71.10","810.35K","-1.39%"
"04-04-2025","75.70","76.80","76.80","75.00","1.32M","-1.56%"
"03-04-2025","76.90","77.65","78.10","76.45","383.05K","-0.19%"
"02-04-2025","77.05","77.85","77.90","76.70","483.18K","-0.06%"
"01-04-2025","77.10","76.25","77.25","76.05","442.37K","2.46%"
"28-03-2025","75.25","74.85","75.45","74.85","291.22K","1.01%"
"27-03-2025","74.50","74.30","74.60","73.65","203.70K","0.68%"
"26-03-2025","74.00","74.30","74.30","73.85","95.68K","-0.07%"
"25-03-2025","74.05","74.15","74.15","73.60","357.38K","0.20%"
"24-03-2025","73.90","74.90","74.95","73.75","362.25K","-1.20%"
"21-03-2025","74.80","75.45","75.50","74.30","236.45K","-0.60%"
"20-03-2025","75.25","75.25","75.95","75.10","327.83K","0.27%"
"19-03-2025","75.05","74.75","75.35","74.75","377.51K","0.27%"
"18-03-2025","74.85","74.95","75.00","74.40","233.02K","0.54%"
"17-03-2025","74.45","74.05","74.55","74.05","364.63K","1.09%"
"13-03-2025","73.65","73.35","74.10","73.35","266.55K","0.82%"
"12-03-2025","73.05","73.30","73.70","72.80","3.69M","0.34%"
"11-03-2025","72.80","72.85","73.00","72.45","125.18K","-0.14%"
"10-03-2025","72.90","73.60","73.60","72.70","260.33K","-0.07%"
"07-03-2025","72.95","73.45","73.45","72.60","259.77K","0.21%"
"06-03-2025","72.80","73.60","73.70","72.75","645.62K","-0.27%"
"05-03-2025","73.00","73.40","73.45","72.60","465.23K","-0.41%"
"04-03-2025","73.30","72.80","73.35","72.25","291.62K","1.52%"
"03-03-2025","72.20","72.45","72.50","71.45","493.02K","0.28%"
"28-02-2025","72.00","72.90","72.90","71.35","691.57K","-0.83%"
"27-02-2025","72.60","73.45","73.60","72.30","1.00M","-1.36%"
"25-02-2025","73.60","73.35","73.95","73.30","551.65K","0.27%"
"24-02-2025","73.40","75.20","75.20","72.30","693.43K","0.55%"
"21-02-2025","73.00","73.60","73.60","72.65","963.22K","-0.48%"
"20-02-2025","73.35","73.35","74.00","73.10","609.80K","-0.41%"
"19-02-2025","73.65","73.00","73.70","72.90","265.17K","1.17%"
"18-02-2025","72.80","72.85","72.90","72.40","452.82K","0.48%"
"17-02-2025","72.45","72.85","72.95","71.25","240.33K","-0.82%"
"14-02-2025","73.05","73.60","73.60","72.75","349.74K","0.48%"
"13-02-2025","72.70","73.20","73.25","72.10","435.49K","0.55%"
"12-02-2025","72.30","72.70","72.70","71.70","553.42K","-0.62%"
"11-02-2025","72.75","73.80","74.05","72.45","471.82K","-0.55%"
"10-02-2025","73.15","73.20","73.90","72.50","1.60M","1.18%"
"07-02-2025","72.30","72.75","72.80","71.60","214.41K","0.21%"
"06-02-2025","72.15","72.00","73.00","71.80","439.76K","0.28%"
"05-02-2025","71.95","71.80","72.10","71.40","267.53K","1.62%"
"04-02-2025","70.80","70.30","70.95","70.30","273.58K","0.71%"
"03-02-2025","70.30","69.75","70.50","68.20","1.20M","0.79%"
"01-02-2025","69.75","70.75","70.75","69.00","243.86K","0.00%"
"31-01-2025","69.75","69.45","69.85","69.05","238.05K","1.23%"
"30-01-2025","68.90","68.75","68.90","68.40","199.23K","0.44%"
"29-01-2025","68.60","69.50","69.50","68.25","328.54K","0.66%"
"28-01-2025","68.15","68.10","68.25","67.90","142.91K","0.00%"
"27-01-2025","68.15","68.45","68.95","67.90","345.43K","-0.44%"
"24-01-2025","68.45","68.50","68.75","68.20","154.97K","0.37%"
"23-01-2025","68.20","68.35","68.35","67.95","213.46K","0.00%"
"22-01-2025","68.20","67.75","68.30","67.75","190.08K","0.96%"
"21-01-2025","67.55","67.35","67.75","67.25","102.67K","0.30%"
"20-01-2025","67.35","67.45","67.45","67.15","153.86K","-0.07%"
"17-01-2025","67.40","67.55","67.90","67.15","278.68K","0.07%"
"16-01-2025","67.35","67.25","67.55","66.80","438.22K","0.67%"
"15-01-2025","66.90","66.25","66.95","66.25","229.11K","0.45%"
"14-01-2025","66.60","66.75","66.75","66.20","206.92K","-0.30%"
"13-01-2025","66.80","66.75","66.90","66.20","176.97K","0.75%"
"10-01-2025","66.30","66.35","66.45","66.00","221.25K","0.61%"
"09-01-2025","65.90","66.00","66.15","65.75","162.37K","0.30%"
"08-01-2025","65.70","65.80","65.80","65.40","136.89K","0.46%"
"07-01-2025","65.40","65.80","65.80","64.80","129.17K","0.38%"
"06-01-2025","65.15","65.90","67.00","65.05","172.06K","-0.76%"
"03-01-2025","65.65","66.20","66.20","65.30","199.39K","0.69%"
"02-01-2025","65.20","65.45","65.45","64.70","94.43K","0.46%"
"01-01-2025","64.90","64.70","65.10","64.70","41.03K","0.39%"
"31-12-2024","64.65","64.80","64.85","64.35","49.70K","0.15%"
"30-12-2024","64.55","64.95","67.00","64.45","106.25K","-0.31%"
"27-12-2024","64.75","65.25","65.25","64.25","51.05K","0.31%"
"26-12-2024","64.55","65.10","65.10","64.35","60.38K","0.39%"
"24-12-2024","64.30","64.60","64.60","64.05","556.50K","-0.46%"
"23-12-2024","64.60","64.30","64.80","64.10","146.61K","0.94%"
"20-12-2024","64.00","64.30","64.35","63.85","229.74K","-0.70%"
"19-12-2024","64.45","63.60","64.70","63.60","210.42K","-0.85%"
"18-12-2024","65.00","65.30","65.30","64.65","204.23K","0.31%"
"17-12-2024","64.80","65.30","65.30","64.65","142.20K","-0.46%"
"16-12-2024","65.10","65.20","65.25","64.75","76.13K","-0.31%"
"13-12-2024","65.30","65.80","65.80","65.20","162.41K","-1.28%"
"12-12-2024","66.15","66.45","66.45","65.85","92.52K","0.76%"
"11-12-2024","65.65","66.00","66.30","65.50","151.61K","0.54%"
"10-12-2024","65.30","64.90","65.45","64.90","330.13K","0.85%"
"09-12-2024","64.75","65.25","65.25","64.50","189.80K","0.08%"
"06-12-2024","64.70","64.80","64.80","64.45","148.51K","-0.08%"
"05-12-2024","64.75","64.90","65.25","64.50","278.92K","0.23%"
"04-12-2024","64.60","64.95","64.95","64.40","177.27K","-0.23%"
"03-12-2024","64.75","64.85","64.90","64.05","98.28K","0.47%"
"02-12-2024","64.45","64.75","64.90","64.20","202.56K","-0.77%"
"29-11-2024","64.95","64.90","65.15","64.65","95.79K","0.54%"
"28-11-2024","64.60","64.50","64.95","64.20","105.41K","0.00%"
"27-11-2024","64.60","64.60","64.70","63.90","192.43K","0.94%"
"26-11-2024","64.00","64.40","64.45","63.65","137.25K","-1.46%"
"25-11-2024","64.95","65.75","65.75","64.60","452.56K","-1.29%"
"22-11-2024","65.80","65.45","65.95","65.30","101.57K","1.15%"
"21-11-2024","65.05","64.35","65.15","64.35","194.05K","1.40%"
"19-11-2024","64.15","64.30","64.80","63.80","174.28K","1.10%"
"18-11-2024","63.45","63.90","63.95","62.80","198.40K","1.52%"
"14-11-2024","62.50","63.20","63.20","62.20","205.22K","-1.88%"
"13-11-2024","63.70","64.35","64.40","63.50","159.81K","0.24%"
"12-11-2024","63.55","64.60","65.30","63.20","426.92K","-2.31%"
"11-11-2024","65.05","65.50","65.55","64.80","148.89K","-0.84%"
"08-11-2024","65.60","65.80","66.25","65.40","291.39K","0.85%"
"07-11-2024","65.05","65.45","65.50","64.60","372.63K","-1.81%"
"06-11-2024","66.25","66.85","66.85","65.35","435.64K","-0.53%"
"05-11-2024","66.60","66.80","66.80","66.30","330.84K","-0.08%"
"04-11-2024","66.65","66.95","67.05","66.10","563.01K","-0.60%"
"01-11-2024","67.05","67.40","67.40","66.80","156.27K","-0.22%"
"31-10-2024","67.20","67.95","67.95","67.05","217.82K","-0.30%"
"30-10-2024","67.40","68.85","68.85","67.00","1.27M","0.82%"
"29-10-2024","66.85","66.65","66.95","66.55","469.20K","0.91%"
"28-10-2024","66.25","66.50","66.50","66.05","1.12M","0.45%"
"25-10-2024","65.95","66.50","66.50","65.75","231.34K","-0.53%"
"24-10-2024","66.30","66.45","66.50","65.90","1.49M","-0.67%"
"23-10-2024","66.75","66.50","66.90","66.30","436.70K","0.68%"
"22-10-2024","66.30","66.60","66.65","66.10","388.23K","-0.08%"
"21-10-2024","66.35","65.80","66.90","65.75","302.39K","0.91%"
"18-10-2024","65.75","65.30","65.80","65.30","253.39K","1.00%"
"17-10-2024","65.10","65.05","65.30","64.85","224.08K","0.31%"
"16-10-2024","64.90","64.60","65.00","64.50","147.52K","0.78%"
"15-10-2024","64.40","64.60","64.70","64.05","125.66K","-0.16%"
"14-10-2024","64.50","64.90","64.90","64.05","212.07K","0.62%"
"11-10-2024","64.10","64.30","64.30","63.80","110.89K","0.87%"
"10-10-2024","63.55","63.80","63.80","63.25","312.31K","0.00%"
"09-10-2024","63.55","63.70","63.70","63.00","355.99K","-0.63%"
